Question,Answer
What does the law on page 135 state?,"6.1. In these rules, unless the contrary intention
appears, references to paragraphs are to
paragraphs of the Immigration Rules (HC 395 as
amended) made under section 3(2) of the
Immigration Act 1971, and references to
Appendices are to Appendices to those rules.
6.2. In these rules:
(a) references to primary and secondary
legislation refers to that legislation as amended
from time to time; and
(b) unless the contrary intention appears, the
following deﬁnitions apply:
“Accompanying Person” in Appendix S2
Healthcare Visitor is a person with a healthcare
right of entry and who is accompanying a patient
(P) to the UK at the same time as P’s entry into the
UK, or who is joining P in the UK on a date after P’s
entry into the UK, for the purpose of providing P
with care or support during their course of planned
healthcare treatment.
“Accredited Institution” means an institution
which is:
(a) the holder of a student sponsor licence; or
(b) the holder of valid accreditation from
Accreditation UK, the Accreditation Body for
Language Services (ABLS), the British
Accreditation Council (BAC), or the
Accreditation Service for International Colleges
(ASIC); or
(c) the holder of a valid and satisfactory full
institutional inspection, review or audit by Estyn,
Education Scotland, the Independent Schools
Inspectorate, Ofﬁce for Standards in Education,
the Ofﬁce for Students, the Quality Assurance
Agency for Higher Education or the Education
and Training Inspectorate Northern Ireland; or
(d) an overseas higher education institution
offering only part of its programmes in the UK.
“Adequate” and “adequately” in relation to a
maintenance and accommodation requirement
means that, after income tax, national insurance
contributions and housing costs have been15/03/2025, 15:28 Immigration Rules - Immigration Rules: introduction - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-introduction#intro5 3/51"
What does the law on page 136 state?,"deducted, there must be available to the person or
family the level of income or funds that would be
available to them if the person or family was in
receipt of income support.
“Administrative review” means a review
conducted in accordance with Appendix AR, or
where applicable Appendix AR (EU).
“Adoption” means an adoption in accordance with
the requirements of Appendix Adoption, and
“adopted” and “adoptive parent” shall be construed
accordingly.
“Agreement on the Free Movement of Persons”
in Appendix Service Providers from Switzerland
means the agreement between the Swiss
Confederation and the European Union and its
member states, which was signed in 1999 and
came into force in 2002.
“Amateur” means a person who engages in a
sport or creative activity solely for personal
enjoyment and who is not seeking to derive a living
from the activity.
“Applicant” means a person who is making an
application for entry clearance, permission to enter
or permission to stay (and a person seeking entry
at the UK Border is to be regarded as making an
application for permission to enter).
“Application for asylum” has the meaning given
in paragraph 327 of these rules.
“Application for leave to remain” and
“application for permission to stay” includes an
application for variation of leave to enter or remain
of a person in the UK.
“Application Centre” in the context of an
application for entry clearance, means a
commercial partner, a British Diplomatic Mission or
Consular Post overseas, or designated government
ofﬁce overseas, authorised by the Secretary of
State to take biometrics and receive documents
from applicants for entry clearance.
“Approved Destination Status Agreement with
China” means the Memorandum of Understanding15/03/2025, 15:28 Immigration Rules - Immigration Rules: introduction - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-introduction#intro5 4/51"
What does the law on page 137 state?,"on visa and related issues concerning tourist
groups from the People’s Republic of China to the
United Kingdom as an approved destination, signed
on 21 January 2005.
“Approved qualiﬁcation” means a
qualiﬁcation which meets the Approved qualiﬁcation
requirements in Appendix Student.
“Approved sponsor” means a sponsor which is
listed in the register of licensed sponsors: workers
or register of licensed sponsors: students on the
gov.uk website as being licensed for the relevant
route of these rules and found at:
https://www.gov.uk/government/publications/register
-of-licensed-sponsors-workers
(https://www.gov.uk/government/publications/register-of-
licensed-sponsors-workers)
https://www.gov.uk/government/publications/register
-of-licensed-sponsors-students
(https://www.gov.uk/government/publications/register-of-
licensed-sponsors-students).
“Approved sponsor” under the Homes for
Ukraine Sponsorship Scheme means a sponsor
who meets eligibility and suitability requirements
under the Homes for Ukraine sponsor guidance,
published by the Department for Levelling Up,
Housing and Communities at
https://www.gov.uk/guidance/homes-for-ukraine-
sponsor-guidance
(https://www.gov.uk/guidance/homes-for-ukraine-sponsor-
guidance). Or, in the case of a child who is not
applying with or to join their parent or legal guardian
in the UK, a sponsor who is approved as a sponsor
for that applicant under the Homes for Ukraine
Scheme under the guidance: “Homes for Ukraine -
Applications to Homes for Ukraine for children who
are not travelling or reuniting with their parent or
legal guardian: Guidance for Councils”.
“Aunt” in Appendix Ukraine Scheme means the
sister, or step-sister, of either of the UK-based
sponsor’s parents, or the female partner of the UK-
based sponsor’s uncle or aunt.
“Biometrics” has the same meaning as “biometric
information” in section 15 of the UK Borders Act
2007 and means, in particular, a record of a15/03/2025, 15:28 Immigration Rules - Immigration Rules: introduction - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-introduction#intro5 5/51"
What does the law on page 138 state?,"person’s ﬁngerprints and a photograph of a
person’s face.
“Biometric immigration document” means a
document recording biometric information issued in
accordance with regulations made under section 5
of the UK Borders Act 2007.
“Bona ﬁde private education institution” is a
private education institution which:
(a) maintains satisfactory records of enrolment
and attendance of students, and supplies these
to the Home Ofﬁce when requested; and
(b) provides courses which involve a minimum
of 15 hours’ organised daytime study per week;
and
(c) ensures a suitably qualiﬁed tutor is present
during the hours of study to offer teaching and
instruction to the students; and
(d) offers courses leading to qualiﬁcations
recognised by the appropriate accreditation
bodies; and
(e) employs suitably qualiﬁed staff to provide
teaching, guidance and support to the students;
and
(f) provides adequate accommodation, facilities,
stafﬁng levels and equipment to support the
numbers of students enrolled at the institution;
and
(g) if it offers tuition support to external students
at degree level, ensures that such students are
registered with the UK degree awarding body.
“Born in the UK or Islands” in Appendix UK
Ancestry means born:
(a) in the UK; or
(b) in the Channel Islands (Bailiwick of
Guernsey, Bailiwick of Jersey); or
(c) in the Isle of Man; or
(d) before 31 March 1922, in Ireland; or
(e) on a British-owned or registered ship or
aircraft if the requirements of either section
50(7)(a) of the British Nationality Act 1981, or15/03/2025, 15:28 Immigration Rules - Immigration Rules: introduction - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-introduction#intro5 6/51"
What does the law on page 139 state?,"section 32(5) of the British Nationality Act 1948,
as applicable, are met.
“BN(O) Adult Dependent Relative” means a
person granted permission as a BN(O) Adult
Dependent Relative under Appendix Hong Kong
British National (Overseas).
“BN(O) Household Child” means a person falling
within HK 15.1. and who is granted permission as a
BN(O) Household Child under Appendix Hong Kong
British National (Overseas).
“BN(O) Household Member” means a person
granted permission as a BN(O) Household Member
under Appendix Hong Kong British National
(Overseas).
“BN(O) Status Holder” means a person granted
permission as a BN(O) Status Holder under
Appendix Hong Kong British National (Overseas).
“Breach of immigration laws” - a person is in
breach of immigration laws for the purpose of these
rules where the person is an overstayer; is an
illegal entrant; is in breach of a condition of their
permission; or used deception in relation to their
most recent application for entry clearance or
permission; and “previously breached
immigration laws” – a person previously breached
immigration laws if they overstayed or used
deception in relation to a previous application for
entry clearance or permission.
“Business day” means any day other than
Saturday or Sunday, a day which is a bank holiday
under the Banking and Financial Dealings Act 1971
in the part of the UK to which the notice is sent,
Christmas Day or Good Friday.
“Cabotage operations” in Appendix Visitor:
Permitted Activities means
(a) in relation to goods, national carriage for hire
or reward carried out on a temporary basis in
the UK; or
(b) in relation to passengers either:
i. national road passenger services for hire
and reward carried out on a temporary basis15/03/2025, 15:28 Immigration Rules - Immigration Rules: introduction - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-introduction#intro5 7/51"
What does the law on page 140 state?,"by a carrier in the UK, or
ii. the picking up and setting down of
passengers within the UK, in the course of a
regular international service, provided that it
is not the principal purpose of the service.
“Calendar year” means a year beginning on 1
January and ending on 31 December.
“Cancellation” in Part 9, Appendix S2 Healthcare
Visitor and Appendix Service Providers from
Switzerland means cancellation, variation in
duration, or curtailment, of entry clearance or
permission, which can take effect immediately or at
a speciﬁed future date and whether the person is in
the UK or overseas. And in relation to Appendix
Temporary Permission to stay for Victims of Human
Trafﬁcking or Slavery the term “cancellation” has
the same meaning as “revocation” in section 65(8)
of the Nationality and Borders Act 2022.
“Certiﬁcate of Sponsorship”means either:
(a) an electronic document, with a unique
reference, issued by a sponsor using the
Sponsorship Management System; or
(b) the record linked to a Sponsorship
Reference Number, given by a sponsor to an
applicant through an invitation to apply, using
the “Sponsor a Worker” scheme operated by the
Secretary of State,
that conﬁrms the details of the job for which the
sponsor is sponsoring the applicant.
“Charity Worker” means a person who has, or
had, permission under any of the following:
(i) Appendix Temporary Work – Charity Worker;
or
(ii) Appendix T5 (Temporary Worker) Charity
Worker under the rules in force between 1
December 2020 and 10 October 2021
(inclusive); or
(iii) as a Tier 5 (Temporary Worker) migrant in
the Charity Worker sub-category under part 6A
of the rules in force before 1 December 2020.15/03/2025, 15:28 Immigration Rules - Immigration Rules: introduction - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-introduction#intro5 8/51"
What does the law on page 141 state?,"“Child” means a person who is aged under 18
years.
“Child Student” means a person who has, or had,
permission under Appendix Child Student,
Appendix CS: Child Student under the rules in force
before 1 December 2020, or as a Tier 4 (Child)
Student under the rules in force before 5 October
2020.
“Civil partnership” means a civil partnership
under or by virtue of the Civil Partnership Act 2004.
“Close relative” means a grandparent, brother,
sister, step-parent, uncle (brother or half-brother of
a child’s parent) or aunt (sister or half-sister of a
child’s parent) who is aged 18 or over.
“Common Travel Area” is as deﬁned in section
1(3) of the Immigration Act 1971.
“Commonwealth citizen” means:
(a) a British Overseas Territories citizen, a
British National (Overseas), a British Overseas
citizen or a British subject; or
(b) a citizen of a country listed in Schedule 3 to
the British Nationality Act 1981.
“Condition” means a condition of leave to enter or
leave to remain under section 3(1)(c) of the
Immigration Act 1971, such as a prohibition on
employment or study.
“Conﬁrmation of Acceptance for Studies
reference number” means a number which links to
a single Conﬁrmation of Acceptance for Studies that
was assigned to a Student or Child Student by their
student sponsor.
“Consecutive engagements” means where:
(a) the applicant is being sponsored for more
than one engagement in the UK as a Creative
Worker regardless of whether the applicant has
engagements outside the UK that take place
between those engagements in the UK; and
(b) the applicant will be sponsored by more than
one sponsor for those engagements,15/03/2025, 15:28 Immigration Rules - Immigration Rules: introduction - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-introduction#intro5 9/51"
What does the law on page 142 state?,"(c) each sponsor has issued a Certiﬁcate of
Sponsorship on the Creative Worker route for
the relevant engagement, or engagements; and
(d) there is no more than 14 days between each
individual engagement in the UK, and for the
purposes of calculating that 14-day period, time
spent by the applicant outside the UK (including
the dates of their departure from and return to
the UK) will not be counted towards this period.
“Contact point meeting” means, for the purpose
of Appendix Innovator Founder, a checkpoint
assessment between the applicant and their
Endorsing Body to assess progress against the
applicant’s business plan.
“Control Zone” is as deﬁned by article 2(1) of, and
Schedule 1 to, the Channel Tunnel (International
Arrangements) Order 1993 (SI 1993/1813) and
article 2 of the Nationality, Immigration and Asylum
Act 2002 (Juxtaposed Controls) Order 2003 (SI
2003/2818) (as amended from time to time).
“Course of study” means the course for which a
Conﬁrmation of Acceptance for Studies was
assigned, or a new course with the person’s current
student sponsor which they were permitted to study
without applying for further permission on the
Student route. 
“Conﬁrmation of Acceptance for Studies”
means an electronic document with a unique
reference number electronically issued by a student
sponsor via the Sponsor Management System, to a
person who the student sponsor has agreed to
sponsor, for use in an application as a Student or
Child Student, in accordance with these rules.
“Conviction” means conviction for a criminal
offence in the UK or any other country.
“Cousin” in Appendix Ukraine Scheme means the
biological, adopted or step-child of the UK-based
sponsor’s uncle or aunt.
“Creative Worker” means a person who has, or
had, permission under any of the following:
(i) Appendix Temporary Work – Creative
Worker; or15/03/2025, 15:28 Immigration Rules - Immigration Rules: introduction - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-introduction#intro5 10/51"
What does the law on page 143 state?,"(ii) Appendix T5 (Temporary Worker) Creative or
Sporting Worker, working in the creative sector
under the rules in force between 1 December
2020 and 10 October 2021 (inclusive); or
(iii) as a Tier 5 (Temporary Worker) migrant in
the Creative and Sporting sub-category working
in the creative sector under part 6A of the rules
in force before 1 December 2020 (inclusive).
“Crew member” has the same meaning as in the
Immigration Act 1971.
“Curtailment”, in relation to the curtailment of a
person’s leave to enter or leave to remain, means
cancelling or curtailing their leave such that they will
have a shorter period of, or no, leave remaining.
“Custodial sentence” means a period of
imprisonment, not including a suspended sentence.
“Customs breach” means a breach of any
provision of the Customs and Excise Acts or any
other breach relating to an assigned matter (which
is any matter in relation to which the
Commissioners or ofﬁcers of His Majesty’s
Revenue and Customs have a power or duty which
the Home Ofﬁce may exercise at the border).
“Date of application” means: If applying for entry
clearance either:
(a) the date of payment of the relevant fee; or
(b) where a fee is not required, the date on
which the application is submitted online; or
(c) where a fee is not required and an online
application is not available, the date on which
the paper application form is received by the
Home Ofﬁce.
If applying for permission to enter, the date the
person seeks entry.
If applying for permission to stay:
(a) where the paper application form is sent by
post by Royal Mail, whether or not accompanied
by a fee waiver request form, the date of posting
as shown on the tracking information provided15/03/2025, 15:28 Immigration Rules - Immigration Rules: introduction - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-introduction#intro5 11/51"
What does the law on page 144 state?,"by Royal Mail or, if not tracked, by the postmark
date on the envelope; or
(b) where the paper application form is sent by
courier, or other postal services provider, the
date on which it is delivered to the Home Ofﬁce;
or 
(c) where the application is made via the online
application process, and there is no request for
a fee waiver, the date on which the online
application is submitted, and the relevant fee is
paid; or
(d) where the application is made via the online
application process, and includes a request for
a fee waiver, the date on which the online
request for a fee waiver is submitted, as long as
the completed application is submitted within 10
working days of the receipt of the decision on
the request for a fee waiver.
“Decision maker” means an entry clearance
ofﬁcer, immigration ofﬁcer, the Secretary of State or
such other person as is authorised by the Secretary
of State to make the decision in question, as the
case may be. And in Part 11 references to the
Secretary of State as the decision maker include
such other person as is authorised by the Secretary
of State to make the decision in question.
“Degree level study” means a course which leads
to a recognised UK bachelor’s degree, or an
equivalent qualiﬁcation at level 6 of the Regulated
Qualiﬁcations Framework, or at level 9 or 10 of the
Scottish Credit and Qualiﬁcations Framework.
“Deportation order” means an order made under
section 5(1) of the Immigration Act 1971.
“Distance learning course” means a course
being undertaken at a UK Accredited Institution by
a person who is overseas, and which does not
require the person to be physically present in the
UK for the majority of the course.
“Doctorate extension scheme” means a
sponsored scheme which enables successful
applicants to remain in the UK for 12 months from
the expected end date of a course leading to the15/03/2025, 15:28 Immigration Rules - Immigration Rules: introduction - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-introduction#intro5 12/51"
What does the law on page 145 state?,"award of a PhD as in Appendix Student, or under
the rules in force before 1 December 2020.
“Domestic Worker in a Private Household”
means a person who has, or had, permission under
Appendix Domestic Worker in a Private Household,
or as a domestic worker in a private household
under paragraph 159EA of the rules in force before
6 May 2021.
“Domestic Worker who is a Victim of Modern
Slavery” means a person who has, or had,
permission under Appendix Domestic Worker Victim
of Modern Slavery, or as a domestic worker who is
a victim of slavery or human trafﬁcking under
paragraph 159J of the rules in force before 6 May
2021.
“ECAA route” means Appendix ECAA Extension of
Stay or under the ECAA rules in force on 30
December 2020.
“Ecctis” is a service which provides information,
advice and opinion on academic, vocational and
professional qualiﬁcations and skills from all over
the world, set out at: https://ecctis.com/
(https://ecctis.com/).
“EEA citizen” and “EEA national” means a
person who is a national of: Austria, Belgium,
Bulgaria, Croatia, Republic of Cyprus, Czech
Republic, Denmark, Estonia, Finland, France,
Germany, Greece, Hungary, Iceland, Ireland, Italy,
Latvia, Liechtenstein, Lithuania, Luxembourg,
Malta, Netherlands, Norway, Poland, Portugal,
Romania, Slovakia, Slovenia, Spain, Sweden or
Switzerland; and who is not also a British citizen.
“EEA EFTA separation agreement” means (as
modiﬁed from time to time in accordance with any
provision of it) the Agreement on arrangements
between Iceland, the Principality of Liechtenstein,
the Kingdom of Norway and the United Kingdom of
Great Britain and Northern Ireland following the
withdrawal of the United Kingdom from the
European Union, the EEA Agreement and other
agreements applicable between the United
Kingdom and the EEA EFTA States by virtue of the
United Kingdom’s membership of the European
Union.15/03/2025, 15:28 Immigration Rules - Immigration Rules: introduction - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-introduction#intro5 13/51"
What does the law on page 146 state?,"“EEA Regulations” means:
(a) (where relevant to something done before
11pm on 31 December 2020) the Immigration
(European Economic Area) Regulations 2016
(as they have effect immediately before that
date or, in the case of an application made
under these rules where the date of decision is
before 11pm on 31 December 2020, as they
have effect at the date of application); or
(b) (where relevant to something done after
11pm on 31 December 2020) the Immigration
(European Economic Area) Regulations 2016
(as, despite the revocation of those
Regulations, they continue to have effect, with
speciﬁed modiﬁcations, by virtue of regulations
made under section 7, 9 or 11 of the European
Union (Withdrawal Agreement) Act 2020).
“ETA” means an Electronic Travel Authorisation as
deﬁned in section 11C(1) of the Immigration Act
1971.
“Employment” includes paid and unpaid
employment, paid and unpaid work placements
undertaken as part of a course or period of study,
self-employment and engaging in business or any
professional activity. Standing for or ﬁlling an
elected post in local or devolved government or
legislatures is not considered to be employment for
the purposes of the immigration rules, and
conditions restricting employment do not affect the
ability to undertake such activities.
“Employment as a doctor or dentist in training”
means employment in a medical post or training
programme which has been approved by the
General Medical Council, or employment in a
postgraduate training programme in dentistry.
“Endorsed funder” means an organisation
accepted by UKRI, and on a list published by them,
as prestigious funders of research and innovation
who have an excellent track record of awarding
funding to researchers with critical skills, following a
rigorous peer review process.
“Endorsing body” means an organisation which is
currently approved by the Home Ofﬁce to endorse15/03/2025, 15:28 Immigration Rules - Immigration Rules: introduction - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-introduction#intro5 14/51"
What does the law on page 147 state?,"an individual or business in connection with an
application under one or more of the following
routes:
(a) Start-up; or
(b) Innovator; or
(c) Innovator Founder; or
(d) Global Talent; or
(e) Scale-up.
“Endorsement letter” means an ofﬁcial letter
issued by an endorsing body, conﬁrming that the
endorsing body has endorsed the applicant in the
relevant category.
“English language course” means a course that
solely consists of English language study. 
“Evidence of P’s permission to enter or remain”
under Appendix S2 Healthcare Visitor means:
(a) a valid document which is either a biometric
immigration document, stamp or endorsement
in a passport (whether or not the passport has
expired), or other document or electronic
document issued by the Home Ofﬁce,
conﬁrming that the patient (P) has permission to
enter or remain in the UK as an S2 Healthcare
Visitor, which has not been cancelled; or
(b) the decision maker is otherwise satisﬁed
from the information available that P has
permission as an S2 Healthcare Visitor, which
has not been cancelled.
“Exclusion decision” means a decision made
personally by the Secretary of State that a person
be excluded from the UK.
“Exclusion order” means an order made under
regulation 23(5) of the EEA Regulations that the
exclusion of an EEA national or the family member
of an EEA national is justiﬁed on the grounds of
public policy, public security or public health.
“Expected end date of a course leading to the
award of a PhD” means the date the PhD is
expected to be formally conﬁrmed, by
the student sponsor, as completed to the standard15/03/2025, 15:28 Immigration Rules - Immigration Rules: introduction - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-introduction#intro5 15/51"
What does the law on page 148 state?,"required for the award of a PhD and recorded on
the Conﬁrmation of Acceptance for Studies which
applies to the application on the doctorate extension
scheme.
“External student” means a student studying for a
degree from a UK degree awarding body without
any requirement to attend the UK degree awarding
body’s premises or a UK listed body’s premises for
lectures and tutorials.
“False document” includes:
(a) a document which has been altered or
tampered with; and
(b) a counterfeit document; and
(c) a document which is being used by an
imposter; and
(d) a document which has been fraudulently
obtained or issued; and
(e) a document which contains a falsiﬁed or
counterfeit entry clearance, visa or
endorsement.
“Fee” means the amount the applicant must pay to
the Secretary of State as speciﬁed in regulations
made in exercise of the powers in sections 68, 69
and 74 of the Immigration Act 2014.
“Fee Waiver” means a decision by the Secretary of
State that the usual fee in relation to an immigration
function need not be paid or need only be paid in
speciﬁed part (whether a fee waiver can be
requested for an application or service is set out in
the Immigration and Nationality (Fees)
Regulations).
“Foundation degree” means a programme of
study which leads to a qualiﬁcation awarded by an
English higher education provider with degree
awarding powers which is at a minimum of level 5
on the Regulated Qualiﬁcations Framework, or
awarded on a directly equivalent basis in the
devolved administrations.
“Full-time course” means a course which is:
(a) a full-time course of course of study at UK
bachelor’s degree level or above; or15/03/2025, 15:28 Immigration Rules - Immigration Rules: introduction - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-introduction#intro5 16/51"
What does the law on page 149 state?,"(b) an overseas higher education course that a
Student is studying in the UK and leads to a
qualiﬁcation from an overseas higher education
institution that is recognised as being equivalent
to a UK higher education qualiﬁcation; or
(c) a course of study below UK degree level that
involves a minimum of 15 hours a week of
classroom-based, daytime study (08:00 – 18:00,
Monday to Friday), but scheduled breaks do not
count towards the 15 hours.
“Global Business Mobility routes” means any of
the following:
(a) Appendix Global Business Mobility –
Graduate Trainee; or
(b) Appendix Global Business Mobility –
Secondment Worker; or
(c) Appendix Global Business Mobility – Senior
or Specialist Worker; or
(d) Appendix Global Business Mobility – Service
Supplier; or
(e) Appendix Global Business Mobility – UK
Expansion Worker.
“Global Talent” means the route, or a person with
permission as a lead applicant on the route, under
Appendix Global Talent or as a Global Talent
migrant under Appendix W of the rules in force
before 1 December 2020, or as a Tier 1
(Exceptional Talent) Migrant.
“Global Universities List” means the list of
universities published by the Home Ofﬁce on the
Gov.uk website, which is compiled on an annual
basis and consists of all non-UK institutions that are
ranked in the top 50 of at least two of the following
ranking systems:
(a) Times Higher Education World University
Rankings; and
(b) Quacquarelli Symonds World University
Rankings; and
(c)The Academic Ranking of World Universities.
“Government Authorised Exchange Scheme”
means a scheme under the T5 (Temporary Worker)15/03/2025, 15:28 Immigration Rules - Immigration Rules: introduction - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-introduction#intro5 17/51"
What does the law on page 150 state?,"Government Authorised Exchange Worker route
which is endorsed by a Government Department in
support of Government objectives and provides
temporary work in an occupation which appears in
Tables 1, 2 or 3 of Appendix Skilled Occupations
and where the migrant will be supernumerary.
“Government Authorised Exchange route”
means any of the following:
(i) the route in Appendix Temporary Work –
Government Authorised Exchange; or
(ii) the route in Appendix T5 (Temporary Worker)
Government Authorised Exchange Worker,
under the rules in force between 1 December
2020 and 10 October 2021 (inclusive); or
(iii) the Government Authorised Exchange sub-
category in the Tier 5 (Temporary Worker) route
under part 6A of the rules in force before 1
December 2020.
“Graduate” means a person who has, or had,
permission as a Graduate under Appendix
Graduate of these Rules.
“Graduate Trainee” means a person who has, or
had, permission under any of the following:
(a) Appendix Global Business Mobility –
Graduate Trainee; or
(b) the Intra-Company Graduate Trainee route
of Appendix Intra-Company Routes under the
rules in force before 11 April 2022; or
(c) as a Tier 2 (Intra-Company Transfer) migrant
in the Graduate Trainee sub-category under the
rules in force before 0900 on 1 December 2020.
“Grandchild” in Appendix Ukraine Scheme means
a biological grandchild, step-grandchild or
grandchild by reason of an adoption recognised by
the laws of the UK relating to adoption.
“Grandparent” in Appendix UK Ancestry, Appendix
Ukraine Scheme and Appendix Adult Dependent
Relative means a biological grandparent or
grandparent by reason of an adoption recognised
by the laws of the UK relating to adoption.15/03/2025, 15:28 Immigration Rules - Immigration Rules: introduction - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-introduction#intro5 18/51"
What does the law on page 151 state?,"“High earner” means a person on the Global
Business Mobility – Senior or Specialist Worker
route or Global Business Mobility – UK Expansion
Worker route who is sponsored in a job with a gross
annual salary of £73,900 or more (based on
working a maximum of 48 hours per week) as
conﬁrmed by their sponsor.
“Higher education provider” means a student
sponsor which:
(a) in England, is an institution that is required to
register with the Ofﬁce for Students, because it
is an “English Higher Education Provider”, as
deﬁned in the Ofﬁce for Students Regulations
and section 83 of the Higher Education and
Research Act 2017; or
(b) in Northern Ireland, is a higher education
institution as set out in the Education and
Libraries (Northern Ireland) Order 1993, or a
body that provides higher education, and is
recognised under the Further Education
(Northern Ireland) Order 1997, with “in
developmental” or “established provider” status;
or
(c) in Scotland, is an institution that provides
higher education within the meaning of section
38 of the Further and Higher Education
(Scotland) Act 1992 and which is a post-16
education body within the meaning of section
35(1) of the Further and Higher Education
(Scotland) Act 2005; or
(d) in Wales, is an institution that offers higher
education provision and is a “regulated
institution”, as deﬁned in the Higher Education
(Wales) Act 2015 (for the purpose of the 2015
Act, higher education is deﬁned as education
provided by means of a course of any
description mentioned in Schedule 6 to the
Education Reform Act 1988).
“High Potential Individual” means a person who
has, or had, permission as a High Potential
Individual under Appendix High Potential Individual.
“High Potential Individual route” means the route
under Appendix High Potential Individual.15/03/2025, 15:28 Immigration Rules - Immigration Rules: introduction - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-introduction#intro5 19/51"
What does the law on page 152 state?,"“Human Rights Convention” means the
Convention for the Protection of Human Rights and
Fundamental Freedoms, agreed by the Council of
Europe at Rome on 4th November 1950, as it has
effect for the time being in relation to the UK.
“Humanitarian protection” means status granted
under paragraph 339C and which has not been
revoked under paragraphs 339G to 339H.
“Illegal entrant” has the same meaning as in
section 33(1) of the Immigration Act 1971.
“Immigration Acts” has the same meaning as in
section 61(2) of the UK Borders Act 2007.
“Immigration employment document” means a
work permit or any other document which relates to
employment and is issued for the purpose of these
rules or in connection with leave to enter or remain
in the UK.
“Immigration Health Charge” means a charge
under section 38 of the Immigration Act 2014 and
the Immigration (Health Charge) Order 2015.
“Immigration Ofﬁcer” includes a Customs Ofﬁcer
acting as an Immigration Ofﬁcer.
“Immigration Skills Charge” means a charge
payable under regulations made under section 70A
of the Immigration Act 2014.
“Independent School” means:
(a) a school in England or Wales (which is not
an Academy, a school maintained by a local
authority, or a non-maintained special school),
at which full-time education is provided for:
(i) ﬁve or more pupils of compulsory school
age (whether or not such education is also
provided at it for pupils under or over that
age); or
(ii) for at least one pupil of compulsory
school age (whether or not such education
is also provided at it for pupils under or over
that age) for whom an education, health and
care (EHC) plan or a statement of special
educational needs is maintained, or who is15/03/2025, 15:28 Immigration Rules - Immigration Rules: introduction - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-introduction#intro5 20/51"
What does the law on page 153 state?,"looked after by a local authority (within the
meaning of section 22 of the Children Act
1989); or
(b) a school in Scotland (which is not a public
school or a grant-aided school), at which full-
time education is provided for pupils of school
age (whether or not such education is also
provided for pupils under or over that age); or
(c) a school in Northern Ireland (which is not
grant-aided), which has been registered with the
Department of Education.
“Innovator” means a person who has, or had,
permission as an Innovator under Appendix
Innovator of the rules in force before 13 April 2023
or as an Innovator migrant under Appendix W of the
rules in force before 1 December 2020.
“Innovator Founder” means a person who has, or
had, permission under Appendix Innovator Founder,
or as an Innovator under Appendix Innovator of the
rules in force before 13 April 2023 or under
Appendix W of the rules in force before 1
December 2020.
“Intention to live permanently with the other in
the UK” or “intend to live together permanently
in the UK” means an intention to live together,
evidenced by a clear commitment from both parties
that they will live together permanently in the UK
immediately following the outcome of the
application in question or as soon as circumstances
permit thereafter. However, where an application is
made under Appendix Armed Forces the words “in
the UK” in this deﬁnition do not apply. Where an
application is made under Appendix FM and the
sponsor is a permanent member of HM Diplomatic
Service, or a comparable UK-based staff member
of the British Council, the Foreign, Commonwealth
and Development Ofﬁce or the Home Ofﬁce on a
tour of duty outside the UK, the words “in the UK” in
this deﬁnition do not apply.
“International Agreement route” means any of
the following:
(i) the route in Appendix Temporary Work –
International Agreement; or15/03/2025, 15:28 Immigration Rules - Immigration Rules: introduction - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-introduction#intro5 21/51"
